for netlify cdn
[2026-05-14 08:38:46] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 164ms
[2026-05-14 08:38:49] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 125ms
[2026-05-14 08:38:52] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 122ms
[2026-05-14 08:38:56] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 112ms
[2026-05-14 08:38:58] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 100ms
[2026-05-14 08:38:58] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 112ms
[2026-05-15 02:20:10] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 163ms
[2026-05-15 02:20:11] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 146ms
[2026-05-15 02:20:13] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 154ms
[2026-05-15 02:20:16] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 126ms
[2026-05-15 03:01:50] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 143ms
[2026-05-15 03:01:52] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 186ms
[2026-05-15 03:01:55] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 133ms
[2026-05-15 04:52:15] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 169ms
[2026-05-15 04:52:21] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 146ms
[2026-05-15 04:52:25] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 132ms
[2026-05-15 04:52:27] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 140ms
[2026-05-15 04:52:29] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 131ms
[2026-05-15 05:04:26] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 113ms
[2026-05-15 05:04:31] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 152ms
[2026-05-15 05:04:31] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 153ms
[2026-05-15 05:04:36] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 187ms
[2026-05-15 05:42:48] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 142ms
[2026-05-15 05:42:48] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 126ms
[2026-05-15 05:42:52] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 116ms
[2026-05-15 05:42:54] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 108ms
[2026-05-15 05:42:54] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 172ms
[2026-05-15 05:53:25] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 189ms
[2026-05-15 05:53:31] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 138ms
[2026-05-15 05:53:31] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 129ms
[2026-05-15 05:53:32] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 134ms
[2026-05-15 05:59:12] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 147ms
[2026-05-15 05:59:18] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 154ms
[2026-05-15 05:59:27] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 229ms
[2026-05-15 05:59:27] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 157ms
[2026-05-16 00:13:53] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 175ms
[2026-05-16 00:13:59] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 127ms
[2026-05-16 00:14:03] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 117ms
[2026-05-16 00:14:05] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 109ms
[2026-05-16 00:14:05] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 123ms
[2026-05-16 00:14:06] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 106ms
[2026-05-16 00:29:04] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 122ms
[2026-05-16 00:29:10] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 127ms
[2026-05-16 00:29:13] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 142ms
[2026-05-16 00:29:14] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 103ms
[2026-05-16 00:29:16] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 119ms
[2026-05-16 00:29:16] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 139ms
[2026-05-16 00:40:29] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 206ms
[2026-05-16 00:40:32] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 107ms
[2026-05-16 00:40:32] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 97ms
[2026-05-16 00:40:35] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 153ms
[2026-05-16 00:40:35] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 153ms
[2026-05-16 00:40:41] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 107ms
[2026-05-16 01:54:36] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 157ms
[2026-05-16 01:54:51] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 133ms
[2026-05-16 01:54:56] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 108ms
[2026-05-16 01:55:02] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 115ms
[2026-05-16 01:55:21] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 112ms
[2026-05-16 01:55:23] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 140ms
[2026-05-16 04:22:02] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 109ms
[2026-05-16 04:32:54] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 123ms
[2026-05-16 04:33:20] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 116ms
[2026-05-16 04:33:24] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 104ms
[2026-05-16 04:33:25] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 108ms
[2026-05-16 04:33:35] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 115ms
[2026-05-16 04:33:35] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 112ms
[2026-05-16 04:48:42] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 205ms
[2026-05-16 04:48:47] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 139ms
[2026-05-16 04:48:51] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 111ms
[2026-05-16 04:48:52] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 110ms
[2026-05-16 04:48:58] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 115ms
[2026-05-16 04:49:08] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 109ms
[2026-05-16 04:53:12] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 111ms
[2026-05-16 04:53:22] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 108ms
[2026-05-16 04:53:26] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 126ms
[2026-05-16 04:53:52] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 141ms
[2026-05-16 04:53:57] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 116ms
[2026-05-16 04:54:02] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 116ms
[2026-05-16 05:00:38] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 153ms
[2026-05-16 05:00:53] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 114ms
[2026-05-16 05:00:53] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 94ms
[2026-05-16 05:01:14] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 112ms
[2026-05-16 05:01:26] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 123ms
[2026-05-16 05:01:28] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 107ms
[2026-05-16 06:02:11] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 112ms
[2026-05-16 06:02:16] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 109ms
[2026-05-16 06:02:16] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 114ms
[2026-05-16 06:02:16] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 122ms
[2026-05-16 06:02:22] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 116ms
[2026-05-16 06:02:31] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 114ms
[2026-05-16 06:19:42] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 119ms
[2026-05-16 06:19:48] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 113ms
[2026-05-16 06:20:03] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 105ms
[2026-05-16 06:20:11] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 123ms
[2026-05-16 06:20:12] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 103ms
[2026-05-16 06:20:24] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 117ms
[2026-05-16 06:40:48] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 118ms
[2026-05-16 06:40:50] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 101ms
[2026-05-16 06:41:04] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 109ms
[2026-05-16 06:41:20] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 115ms
[2026-05-16 06:41:22] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 125ms
[2026-05-16 06:41:22] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 110ms
[2026-05-16 07:03:44] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 161ms
[2026-05-16 07:03:44] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 159ms
[2026-05-16 07:04:10] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 119ms
[2026-05-16 07:04:14] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 109ms
[2026-05-16 07:04:22] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 140ms
[2026-05-16 07:04:33] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 116ms
[2026-05-16 07:45:58] IP: 50.7.85.37 | SNI: letsencrypt.org | Ping: 94ms
[2026-05-16 07:46:03] IP: 50.7.85.35 | SNI: kubernetes.io | Ping: 110ms
[2026-05-16 07:46:03] IP: 50.7.85.38 | SNI: letsencrypt.org | Ping: 110ms
[2026-05-16 07:46:13] IP: 50.7.85.37 | SNI: kubernetes.io | Ping: 136ms
[2026-05-16 07:46:43] IP: 50.7.85.38 | SNI: kubernetes.io | Ping: 136ms
[2026-05-16 07:46:57] IP: 50.7.85.35 | SNI: letsencrypt.org | Ping: 115ms
[2026-05-16 07:52:13] IP: 94.130.70.160 | SNI: kubernetes.io | Ping: 104ms
[2026-05-16 07:52:13] IP: 94.130.13.19 | SNI: letsencrypt.org | Ping: 110ms
[2026-05-16 07:52:13] IP: 95.216.69.37 | SNI: letsencrypt.org | Ping: 125ms
[2026-05-16 07:52:14] IP: 63.141.252.203 | SNI: letsencrypt.org | Ping: 220ms
[2026-05-16 07:52:15] IP: 94.130.33.41 | SNI: kubernetes.io | Ping: 87ms
[2026-05-16 07:52:15] IP: 144.76.1.88 | SNI: kubernetes.io | Ping: 83ms
[2026-05-16 07:52:18] IP: 94.130.33.41 | SNI: letsencrypt.org | Ping: 87ms
[2026-05-16 07:52:19] IP: 138.201.54.122 | SNI: kubernetes.io | Ping: 87ms
[2026-05-16 07:52:23] IP: 85.10.207.48 | SNI: letsencrypt.org | Ping: 81ms
[2026-05-16 07:52:23] IP: 142.54.178.211 | SNI: letsencrypt.org | Ping: 212ms
[2026-05-16 07:52:28] IP: 50.7.87.5 | SNI: kubernetes.io | Ping: 75ms
[2026-05-16 07:52:29] IP: 50.7.5.83 | SNI: kubernetes.io | Ping: 143ms
[2026-05-16 07:52:32] IP: 204.12.196.34 | SNI: kubernetes.io | Ping: 196ms
[2026-05-16 07:52:40] IP: 204.12.196.34 | SNI: letsencrypt.org | Ping: 194ms
[2026-05-16 07:52:48] IP: 138.201.54.122 | SNI: letsencrypt.org | Ping: 92ms
[2026-05-16 07:52:49] IP: 85.10.207.48 | SNI: kubernetes.io | Ping: 86ms
[2026-05-16 07:52:50] IP: 142.54.178.211 | SNI: kubernetes.io | Ping: 188ms
[2026-05-16 07:52:54] IP: 65.109.34.234 | SNI: letsencrypt.org | Ping: 102ms
[2026-05-16 07:52:55] IP: 94.130.13.19 | SNI: kubernetes.io | Ping: 87ms
[2026-05-16 07:52:56] IP: 63.141.252.203 | SNI: kubernetes.io | Ping: 200ms
[2026-05-16 07:53:00] IP: 50.7.87.4 | SNI: kubernetes.io | Ping: 77ms
[2026-05-16 07:53:05] IP: 65.109.34.234 | SNI: kubernetes.io | Ping: 107ms
[2026-05-16 07:53:06] IP: 144.76.1.88 | SNI: letsencrypt.org | Ping: 99ms
[2026-05-16 07:53:09] IP: 94.130.70.160 | SNI: letsencrypt.org | Ping: 90ms
[2026-05-16 18:42:23] IP: 204.12.196.34 | SNI: kubernetes.io | Ping: 237ms
[2026-05-16 18:42:24] IP: 50.7.87.4 | SNI: kubernetes.io | Ping: 124ms
[2026-05-16 18:42:27] IP: 94.130.13.19 | SNI: letsencrypt.org | Ping: 106ms
[2026-05-16 18:42:28] IP: 94.130.33.41 | SNI: letsencrypt.org | Ping: 93ms
[2026-05-16 18:42:28] IP: 144.76.1.88 | SNI: kubernetes.io | Ping: 88ms
[2026-05-16 18:42:28] IP: 142.54.178.211 | SNI: kubernetes.io | Ping: 220ms
[2026-05-16 18:42:32] IP: 85.10.207.48 | SNI: kubernetes.io | Ping: 88ms
[2026-05-16 18:42:32] IP: 65.109.34.234 | SNI: kubernetes.io | Ping: 107ms
[2026-05-16 18:42:33] IP: 94.130.50.12 | SNI: letsencrypt.org | Ping: 112ms
[2026-05-16 18:42:33] IP: 50.7.5.83 | SNI: kubernetes.io | Ping: 126ms
[2026-05-16 18:42:35] IP: 95.216.69.37 | SNI: kubernetes.io | Ping: 101ms
[2026-05-16 18:42:35] IP: 50.7.87.5 | SNI: kubernetes.io | Ping: 99ms
[2026-05-16 18:42:36] IP: 95.216.69.37 | SNI: letsencrypt.org | Ping: 100ms
[2026-05-16 18:42:36] IP: 50.7.87.2 | SNI: kubernetes.io | Ping: 78ms
[2026-05-16 18:42:41] IP: 94.130.70.160 | SNI: kubernetes.io | Ping: 88ms
[2026-05-16 18:42:42] IP: 50.7.5.83 | SNI: letsencrypt.org | Ping: 132ms
[2026-05-16 18:42:43] IP: 63.141.252.203 | SNI: letsencrypt.org | Ping: 233ms
[2026-05-16 18:42:46] IP: 138.201.54.122 | SNI: letsencrypt.org | Ping: 88ms
[2026-05-16 18:42:51] IP: 94.130.33.41 | SNI: kubernetes.io | Ping: 104ms
[2026-05-16 18:42:52] IP: 94.130.13.19 | SNI: kubernetes.io | Ping: 91ms
